in.county,time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2],totalPredicted
G4500010,2018-07-01T04:00:00Z,27.4,96.99,0,0,0,0,0,88.07436840153375
G4500010,2018-07-01T05:00:00Z,27.2,96.99,0,0,0,0,0,85.71810771700811
G4500010,2018-07-01T06:00:00Z,27.2,100,0,0,6,26.5,5.5,78.81569523248595
G4500010,2018-07-01T07:00:00Z,28.9,96.45,0,33.33,106,317,49.5,59.9175925909613
G4500010,2018-07-01T08:00:00Z,31.1,82.07,0,0,292.5,583,79.5,61.15830813025924
G4500010,2018-07-01T09:00:00Z,32.4,74.26,0.75,120,490.5,715,96.5,65.94322963965271
G4500010,2018-07-01T10:00:00Z,32.8,71.6,1.5,0,650.5,717,135,65.34848428311378
G4500010,2018-07-01T11:00:00Z,33.3,69.55,2.77,85,779,742.5,152,69.54875251644768
G4500010,2018-07-01T12:00:00Z,34.4,63.29,2.6,80,891.5,790.5,151,81.29069829096095
G4500010,2018-07-01T13:00:00Z,34.4,65.25,2.1,120,888.5,679.5,224.5,76.47970861941944
G4500010,2018-07-01T14:00:00Z,36.1,59.19,3.1,100,746.5,461,302,116.2593781325833
G4500010,2018-07-01T15:00:00Z,35,65.38,2.6,100,788,642.5,209,93.15706577449356
G4500010,2018-07-01T16:00:00Z,33.870000000000005,74.35,4.3,90,423,153.5,299.5,118.24944896779016
G4500010,2018-07-01T17:00:00Z,32.2,82.2,1.5,330,249,63.5,208.5,113.7193645930686
G4500010,2018-07-01T18:00:00Z,29.12,96.45,2.98,313.33,129.5,17.5,120.5,92.05437676375354
G4500010,2018-07-01T19:00:00Z,30,93.62,1.5,360,42.5,4,41.5,118.69100688747041
G4500010,2018-07-01T20:00:00Z,30.33,87,0,120,8.5,5,8.5,130.06727523897547
G4500010,2018-07-01T21:00:00Z,28.9,96.45,0,0,0,0,0,106.29963282395696
G4500010,2018-07-01T22:00:00Z,28.9,96.45,0,13.33,0,0,0,106.35238365440063
G4500010,2018-07-01T23:00:00Z,28.3,100,0,0,0,0,0,95.93928420650886
G4500010,2018-07-02T00:00:00Z,28.9,96.45,1.5,190,0,0,0,111.42932216988676
G4500010,2018-07-02T01:00:00Z,28.3,97.02,0,110,0,0,0,99.12232285043723
G4500010,2018-07-02T02:00:00Z,27.2,100,0,126.67,0,0,0,83.45518194128394
G4500010,2018-07-02T03:00:00Z,27.2,100,0,73.33,0,0,0,83.25490864130495
G4500010,2018-07-02T04:00:00Z,27.87,96.42,0,0,0,0,0,94.19668628292177
G4500010,2018-07-02T05:00:00Z,27.1,100,0,0,0,0,0,81.80172009935453
G4500010,2018-07-02T06:00:00Z,27,98.02,0,0,3.5,4.5,3.5,81.23559643258639
G4500010,2018-07-02T07:00:00Z,28.9,96.45,1.5,90,54.5,19,51.5,98.33791745372481
G4500010,2018-07-02T08:00:00Z,29.4,97.04,0,0,100.5,5,98.5,90.90152821406447
G4500010,2018-07-02T09:00:00Z,30.55,84.59,1.1,127.5,217.5,29,201,95.83837243404292
G4500010,2018-07-02T10:00:00Z,31.95,76.92,0.75,260,298,40,268.5,103.71073198415954
G4500010,2018-07-02T11:00:00Z,32.2,79.28,1.05,83.33,581,217,395,57.02380255300707
G4500010,2018-07-02T12:00:00Z,33.85,67.68,0.75,0,722,362.5,380,70.92278164543048
G4500010,2018-07-02T13:00:00Z,35,63.04,1.5,70,946,809,155.5,81.80110403310763
G4500010,2018-07-02T14:00:00Z,35,63.04,2.1,66.67,878.5,678.5,224,85.77958923290967
G4500010,2018-07-02T15:00:00Z,35.6,60.91,1.5,300,856,763,166.5,95.82198403889637
G4500010,2018-07-02T16:00:00Z,36.4,59.19,1.8,310,723.5,698,165,116.91276962184679
G4500010,2018-07-02T17:00:00Z,29.75,97.02,3.77,204,296.5,173,179,70.15985723964499
G4500010,2018-07-02T18:00:00Z,31.33,84.65,1.9,90,42.5,1,42,143.12595519628428
G4500010,2018-07-02T19:00:00Z,32.8,79.37,0,0,12,0,12,165.7034941700556
G4500010,2018-07-02T20:00:00Z,30.6,96.49,0,106.67,4,2.5,4,125.6626060037914
G4500010,2018-07-02T21:00:00Z,30.6,96.49,0,0,0,0,0,126.36102343390387
G4500010,2018-07-02T22:00:00Z,30,96.48,1.5,160,0,0,0,124.3065355657297
G4500010,2018-07-02T23:00:00Z,29,98.24,0,0,0,0,0,105.8764329846106
G4500010,2018-07-03T00:00:00Z,28,100,0,0,0,0,0,92.45568102834577
G4500010,2018-07-03T01:00:00Z,28.9,100,1.5,70,0,0,0,107.73852575353354
G4500010,2018-07-03T02:00:00Z,28.3,100,0,93.33,0,0,0,96.35183962401598
G4500010,2018-07-03T03:00:00Z,27.67,96.08,0,90,0,0,0,92.54457880916073
G4500010,2018-07-03T04:00:00Z,27.8,100,1.86,154,0,0,0,96.14899302820378
G4500010,2018-07-03T05:00:00Z,27.65,100,0,3.33,0,0,0,88.35188660524976
G4500010,2018-07-03T06:00:00Z,27.2,100,0,0,5.5,24.5,5,79.24699976292374
G4500010,2018-07-03T07:00:00Z,30,90.3,0,0,105.5,317.5,50,78.41756412927064
G4500010,2018-07-03T08:00:00Z,31.1,90.38,0,26.67,289.5,566,84.5,54.64482308223833
G4500010,2018-07-03T09:00:00Z,33.3,82.34,0,33.33,487.5,696,105.5,67.07634863685075
G4500010,2018-07-03T10:00:00Z,35,72,2.6,40,670,766.5,122.5,91.02332239050477
G4500010,2018-07-03T11:00:00Z,35,69.87,2.6,90,813.5,794,142.5,84.56262242323238
G4500010,2018-07-03T12:00:00Z,36.1,61.39,1.5,40,888.5,762.5,176,98.17459665138375
G4500010,2018-07-03T13:00:00Z,36.7,59.34,0,13.33,870.5,643,242.5,103.4507146365429
G4500010,2018-07-03T14:00:00Z,37.2,55.61,1.5,33.33,885.5,680,228.5,115.65130707616629
G4500010,2018-07-03T15:00:00Z,38.9,52.43,3.1,360,762.5,545.5,271.5,152.83392628517896
G4500010,2018-07-03T16:00:00Z,36.85,59.34,2.35,345,559.5,311.5,306.5,141.9269750973955
G4500010,2018-07-03T17:00:00Z,35.42,72,0.75,15,118.5,4.5,115.5,183.98214721168603
G4500010,2018-07-03T18:00:00Z,33.15,72.13,2.85,185,201.5,126,142,144.1428964706714
G4500010,2018-07-03T19:00:00Z,28.65,93.54,4.9,180,105,74.5,85.5,95.07824452214362
G4500010,2018-07-03T20:00:00Z,28.03,96.42,3.93,233.33,32.5,32,29,99.00381909832174
G4500010,2018-07-03T21:00:00Z,27.7,100,1.68,286.67,0,0,0,94.98177296591766
G4500010,2018-07-03T22:00:00Z,27.2,100,1.5,90,0,0,0,87.81322819211812
G4500010,2018-07-03T23:00:00Z,27.2,100,0,116.67,0,0,0,83.51448354646169
G4500010,2018-07-04T00:00:00Z,27.2,100,1.5,350,0,0,0,88.80429533362327
G4500010,2018-07-04T01:00:00Z,27.2,96.99,0,113.33,0,0,0,86.29517516543326
G4500010,2018-07-04T02:00:00Z,26.7,100,0,3.33,0,0,0,77.19476761078083
G4500010,2018-07-04T03:00:00Z,27.2,100,0,26.67,0,0,0,83.18156278885773
G4500010,2018-07-04T04:00:00Z,27.8,96.42,0,73.33,0,0,0,93.7532754881293
G4500010,2018-07-04T05:00:00Z,27.8,96.42,0,0,0,0,0,93.47713669591772
G4500010,2018-07-04T06:00:00Z,27.2,100,1.5,20,4.5,12.5,4.5,85.23578356833123
G4500010,2018-07-04T07:00:00Z,29.4,88.74,1.5,20,96,219,57.5,87.06430659467425
G4500010,2018-07-04T08:00:00Z,31.1,84.59,2.1,50,272.5,453,107,74.87890202803028
G4500010,2018-07-04T09:00:00Z,32.2,71.93,3.1,60,475.5,630.5,129.5,75.87317656830677
G4500010,2018-07-04T10:00:00Z,34.4,69.76,3.6,30,661,731.5,139,89.82611321769221
G4500010,2018-07-04T11:00:00Z,34.4,65.25,4.6,50,726.5,614.5,209.5,95.79712544718512
G4500010,2018-07-04T12:00:00Z,35,65.38,3.1,60,588,270,337.5,114.02479610719355
G4500010,2018-07-04T13:00:00Z,34.4,65.25,3.6,60,616,287,336,106.59134005820329
G4500010,2018-07-04T14:00:00Z,35.6,59.08,3.6,70,609,294.5,325,127.86271811480401
G4500010,2018-07-04T15:00:00Z,36.7,53.49,4.1,40,772,624.5,209.5,130.66572905591477
G4500010,2018-07-04T16:00:00Z,36.7,51.87,3.6,60,758.5,772,143,127.18891023447418
G4500010,2018-07-04T17:00:00Z,36.1,53.66,2.6,100,588.5,695,136.5,127.5693276571168
G4500010,2018-07-04T18:00:00Z,35.6,56.94,2.1,70,361,452.5,143.5,145.6344815128611
G4500010,2018-07-04T19:00:00Z,31.7,87.23,2.1,130,124,168,70.5,120.69168456043663
G4500010,2018-07-04T20:00:00Z,30.6,93.09,0,83.33,23.5,47.5,19.5,120.54057111014488
G4500010,2018-07-04T21:00:00Z,30,93.62,0,113.33,0,0,0,122.4789236676426
G4500010,2018-07-04T22:00:00Z,30.6,84.53,2.1,120,0,0,0,144.16736751839093
G4500010,2018-07-04T23:00:00Z,29.4,93.6,0,43.33,0,0,0,115.16085023646569
G4500010,2018-07-05T00:00:00Z,28.9,96.45,1.5,100,0,0,0,111.2433619955394
G4500010,2018-07-05T01:00:00Z,28.9,96.45,0,0,0,0,0,106.46388288759684
G4500010,2018-07-05T02:00:00Z,28.3,100,1.5,30,0,0,0,100.61735132425032
G4500010,2018-07-05T03:00:00Z,28.3,100,0,0,0,0,0,96.10353427014863
G4500010,2018-07-05T04:00:00Z,28,94.12,0,0,0,0,0,98.01642986984449
G4500010,2018-07-05T05:00:00Z,27.8,100,1.5,10,0,0,0,94.65187676150529
G4500010,2018-07-05T06:00:00Z,28,94.12,0,0,4.5,18,4,95.1693069946762
G4500010,2018-07-05T07:00:00Z,29.4,93.6,2.1,40,97.5,281.5,49.5,78.94439460038532
G4500010,2018-07-05T08:00:00Z,30.6,87.13,2.1,50,273.5,503.5,88.5,64.5622394274541
G4500010,2018-07-05T09:00:00Z,31.35,81.65,1.4,195,486,707,99,49.58298760049662
G4500010,2018-07-05T10:00:00Z,32.2,76.92,2.6,50,598.5,628.5,153,64.05335161068498
G4500010,2018-07-05T11:00:00Z,33.9,69.66,3.1,110,679.5,461,288.5,84.24133690036832
G4500010,2018-07-05T12:00:00Z,34.4,65.25,0,53.33,786.5,475,342.5,71.65648530454025
G4500010,2018-07-05T13:00:00Z,35.6,56.94,1.5,93.33,872,616.5,270.5,95.06476295860486
G4500010,2018-07-05T14:00:00Z,35.6,56.94,2.6,20,840,568.5,290.5,99.92399269584311
G4500010,2018-07-05T15:00:00Z,36.1,51.71,2.6,50,717,421,339.5,119.33729958359585
G4500010,2018-07-05T16:00:00Z,36.7,51.87,2.1,70,722,685.5,176.5,126.55929085072628
G4500010,2018-07-05T17:00:00Z,36.1,53.66,2.1,110,556,593,170,131.57261699162382
G4500010,2018-07-05T18:00:00Z,36.1,57.42,1.5,60,383,542,126,142.3934577249864
G4500010,2018-07-05T19:00:00Z,35,63.04,0,20,192,361.5,86.5,149.83051501256915
G4500010,2018-07-05T20:00:00Z,31.7,74.08,2.6,140,35.5,56,28.5,156.18788065334672
G4500010,2018-07-05T21:00:00Z,30,84.47,0,110,0,0,0,130.996480725157
G4500010,2018-07-05T22:00:00Z,29.4,87.55,0,160,0,0,0,121.25922827284217
G4500010,2018-07-05T23:00:00Z,28.3,93.54,0,0,0,0,0,102.13254916750007
G4500010,2018-07-06T00:00:00Z,27.8,93.52,0,60,0,0,0,96.48489787176668
G4500010,2018-07-06T01:00:00Z,27.8,93.52,0,0,0,0,0,96.25934872495093
G4500010,2018-07-06T02:00:00Z,27.33,98.04,0,76.67,0,0,0,86.821993717554
G4500010,2018-07-06T03:00:00Z,27.2,96.99,0,76.67,0,0,0,86.26410340505923
G4500010,2018-07-06T04:00:00Z,26.7,100,0,0,0,0,0,77.29018893975697
G4500010,2018-07-06T05:00:00Z,26.7,96.39,0,0,0,0,0,80.63735108749542
G4500010,2018-07-06T06:00:00Z,26.7,100,0,0,4.5,17,4,74.55561820693792
G4500010,2018-07-06T07:00:00Z,28.9,93.57,0,0,101,294.5,50,65.21278710241266
G4500010,2018-07-06T08:00:00Z,31.1,82.07,3.1,260,283,551,85.5,74.05401735838159
G4500010,2018-07-06T09:00:00Z,32.2,76.92,3.1,240,480.5,686,106.5,70.17822844697463
G4500010,2018-07-06T10:00:00Z,33.3,74.35,3.1,280,663,761,122,72.12996103356758
G4500010,2018-07-06T11:00:00Z,35,67.39,3.1,260,811,804,132.5,89.96548139138439
G4500010,2018-07-06T12:00:00Z,35.6,60.91,2.1,260,912.5,824.5,142.5,94.69453743220248
G4500010,2018-07-06T13:00:00Z,36.1,61.39,3.1,160,957.5,826.5,151.5,100.21619145659534
G4500010,2018-07-06T14:00:00Z,35.6,60.91,2.6,190,907,728.5,203,95.07308115543901
G4500010,2018-07-06T15:00:00Z,36.7,59.34,2.6,210,662,347.5,347,127.46236004617934
G4500010,2018-07-06T16:00:00Z,36.879999999999995,55.34,2.3,270,665,548.5,226.5,133.2789043285517
G4500010,2018-07-06T17:00:00Z,28.2,93.49,4.82,260,199.5,60,158.5,76.46120645797676
G4500010,2018-07-06T18:00:00Z,27.4,96.99,3.23,150,28,0,28,92.67453302594356
G4500010,2018-07-06T19:00:00Z,27.15,100,0.75,175,10.5,0,10.5,83.34254196097889
G4500010,2018-07-06T20:00:00Z,27.2,100,1.57,180,3.5,0.5,3.5,87.73798943809224
G4500010,2018-07-06T21:00:00Z,27.2,100,0,23.33,0,0,0,83.31152512687824
G4500010,2018-07-06T22:00:00Z,27.2,100,0,120,0,0,0,83.68056560828047
G4500010,2018-07-06T23:00:00Z,27,94.07,0,6.67,0,0,0,86.38889493081744
G4500010,2018-07-07T00:00:00Z,26.67,96.05,0,0,0,0,0,80.63969196488473
G4500010,2018-07-07T01:00:00Z,26,96.02,0,0,0,0,0,72.76893767879473
G4500010,2018-07-07T02:00:00Z,26.1,100,0,0,0,0,0,70.26246940208975
G4500010,2018-07-07T03:00:00Z,25.6,100,0,0,0,0,0,64.36857591320361
G4500010,2018-07-07T04:00:00Z,25.6,100,1.5,360,0,0,0,70.13912216265132
G4500010,2018-07-07T05:00:00Z,25.6,100,1.5,350,0,0,0,70.10333162572199
G4500010,2018-07-07T06:00:00Z,25.6,100,2.1,10,4,14.5,4,68.12427052124211
G4500010,2018-07-07T07:00:00Z,26.62,100,3.48,32.5,97.5,261.5,53,45.93175905004613
G4500010,2018-07-07T08:00:00Z,27.8,93.52,3.6,50,273,496.5,95.5,29.569638067156003
G4500010,2018-07-07T09:00:00Z,28.3,93.54,3.35,50,203.5,146,127,68.88152352446662
G4500010,2018-07-07T10:00:00Z,29.15,87.55,2.55,55,154,39,128,94.55237682530682
G4500010,2018-07-07T11:00:00Z,30,84.47,3.1,30,192,7,186,100.89887949741296
G4500010,2018-07-07T12:00:00Z,31.05,85.19,3.6,40,260,13,248,100.67056734486954
G4500010,2018-07-07T13:00:00Z,31.8,79.21,3.6,60,556,194,366,68.51572891125085
G4500010,2018-07-07T14:00:00Z,29.17,93.6,3.43,45,278,71,208.5,71.13275232650508
G4500010,2018-07-07T15:00:00Z,29.8,90.81,3.97,36.67,282,33.5,251,78.66018972816144
G4500010,2018-07-07T16:00:00Z,28.9,87.51,6.2,30,275,20,259,77.68041882010051
G4500010,2018-07-07T17:00:00Z,28.9,87.51,5.7,10,234.5,31,214,84.07073336815787
G4500010,2018-07-07T18:00:00Z,27.9,90.14,5.1,35,97.5,1.5,96.5,95.80324537199675
G4500010,2018-07-07T19:00:00Z,27.8,90.14,4.6,30,14.5,0,14.5,110.12426477218878
G4500010,2018-07-07T20:00:00Z,27.87,84.23,3.27,50,3.5,0,3.5,114.85492027058665
G4500010,2018-07-07T21:00:00Z,27.8,87.41,2.6,30,0,0,0,109.76012631706747
G4500010,2018-07-07T22:00:00Z,26.95,90.06,3.6,30,0,0,0,100.21827165109438
G4500010,2018-07-07T23:00:00Z,26.7,86.77,2.6,40,0,0,0,97.42409968773823
G4500010,2018-07-08T00:00:00Z,26.7,84.11,3.1,30,0,0,0,101.3204210600043
G4500010,2018-07-08T01:00:00Z,26.1,83.01,3.6,30,0,0,0,96.73394336497346
G4500010,2018-07-08T02:00:00Z,26.1,87.26,2.6,50,0,0,0,89.93923875455428
G4500010,2018-07-08T03:00:00Z,26.1,87.26,2.6,30,0,0,0,89.86549649564768
G4500010,2018-07-08T04:00:00Z,25.6,83.98,3.6,40,0,0,0,89.98352869563679
G4500010,2018-07-08T05:00:00Z,25,83.91,3.6,40,0,0,0,82.97528578647592
G4500010,2018-07-08T06:00:00Z,24.4,81.21,4.1,40,4,16.5,4,77.19453973829091
G4500010,2018-07-08T07:00:00Z,25,75.78,5.1,30,99.5,301.5,48.5,50.41198685346802
G4500010,2018-07-08T08:00:00Z,26.1,68.13,7.2,30,283,567.5,80.5,38.383020478953206
G4500010,2018-07-08T09:00:00Z,27.2,63.7,7.2,30,484.5,712,97.5,33.57365315302396
G4500010,2018-07-08T10:00:00Z,28.3,60.51,4.1,30,674,803,104.5,26.611595395495087
G4500010,2018-07-08T11:00:00Z,29.4,55.84,3.1,20,831,858,108.5,32.154760010925386
G4500010,2018-07-08T12:00:00Z,30,51.47,4.1,360,941,890,110.5,42.24223225195236
G4500010,2018-07-08T13:00:00Z,30.6,51.92,3.6,30,994.5,907,110.5,43.648948590149075
G4500010,2018-07-08T14:00:00Z,31.7,45.8,4.1,30,987,913,106,64.04221003966481
G4500010,2018-07-08T15:00:00Z,32.2,45.44,4.1,30,917,900.5,103,73.07285127277262
G4500010,2018-07-08T16:00:00Z,33.3,42.62,3.1,360,791.5,871,98,92.71965101027611
G4500010,2018-07-08T17:00:00Z,33.3,46.04,2.6,350,623.5,820,91.5,96.99304829152857
G4500010,2018-07-08T18:00:00Z,32.8,48.15,2.6,340,425.5,733,78.5,103.70809246668814
G4500010,2018-07-08T19:00:00Z,31.7,58.15,2.1,40,222,574,60.5,102.60326511848275
G4500010,2018-07-08T20:00:00Z,27.8,75.75,0,0,51.5,237,26.5,80.47430210672456
G4500010,2018-07-08T21:00:00Z,26.7,81,0,0,0,0,0,95.0359341925568
G4500010,2018-07-08T22:00:00Z,25.6,89.98,0,3.33,0,0,0,73.75860729954259
G4500010,2018-07-08T23:00:00Z,25,93.38,2.1,10,0,0,0,69.72337255777872
G4500010,2018-07-09T00:00:00Z,25,89.94,1.5,10,0,0,0,71.15216465527237
G4500010,2018-07-09T01:00:00Z,24.4,90.46,1.5,350,0,0,0,64.88759038530921
G4500010,2018-07-09T02:00:00Z,23.9,87.05,1.5,10,0,0,0,60.86302069899451
G4500010,2018-07-09T03:00:00Z,22.8,93.27,0,16.67,0,0,0,37.75364346580485
G4500010,2018-07-09T04:00:00Z,22.2,93.24,0,10,0,0,0,30.683023035506796
G4500010,2018-07-09T05:00:00Z,21.7,89.69,2.1,20,0,0,0,34.27945894992564
G4500010,2018-07-09T06:00:00Z,22.2,90.31,2.1,10,4.5,27,4,35.700820860559716
G4500010,2018-07-09T07:00:00Z,23.9,81.15,2.1,10,105,372,43.5,16.604492979673914
G4500010,2018-07-09T08:00:00Z,26.7,70.47,2.1,20,295,628.5,72.5,22.878498700635973
G4500010,2018-07-09T09:00:00Z,28.9,61.67,0,30,499.5,758,89,30.71478983900912
G4500010,2018-07-09T10:00:00Z,30,57.74,1.5,50,690,833.5,100,38.97380843595143
G4500010,2018-07-09T11:00:00Z,31.7,52.2,1.71,16.67,846.5,880,106,56.436717838016236
G4500010,2018-07-09T12:00:00Z,32.8,48.94,2.1,50,955.5,909,108.5,68.69025666708153
G4500010,2018-07-09T13:00:00Z,33.3,47.25,1.5,20,1008,922,110,71.91756537254909
G4500010,2018-07-09T14:00:00Z,34.4,46.44,2.1,50,998.5,921.5,110,87.68276342249271
G4500010,2018-07-09T15:00:00Z,35,44.77,2.23,56.67,927,909,106,99.72401013873268
G4500010,2018-07-09T16:00:00Z,35,44.77,2.1,350,801,881,99.5,106.32752189567577
G4500010,2018-07-09T17:00:00Z,35.6,44.65,3.1,360,631,832,91.5,125.52243633207723
G4500010,2018-07-09T18:00:00Z,35,45.72,1.5,350,431.5,745.5,79,127.19078808192313
G4500010,2018-07-09T19:00:00Z,32.8,47.7,0,0,225,587,60,117.59325926016932
G4500010,2018-07-09T20:00:00Z,28.9,68.45,0,0,52,244,26.5,99.4679554291672
G4500010,2018-07-09T21:00:00Z,27.8,76.88,0,0,0,0,0,111.8766863419248
G4500010,2018-07-09T22:00:00Z,27.2,84.99,0,80,0,0,0,97.59252594132226
G4500010,2018-07-09T23:00:00Z,26.7,90.06,0,83.33,0,0,0,87.01344353905642
G4500010,2018-07-10T00:00:00Z,25.6,92.83,0,256.67,0,0,0,72.13547680165723
G4500010,2018-07-10T01:00:00Z,25,96.34,0,180,0,0,0,61.519054869339634
G4500010,2018-07-10T02:00:00Z,25,96.34,0,276.67,0,0,0,61.888095350741985
G4500010,2018-07-10T03:00:00Z,25,93.38,0,190,0,0,0,64.30404443220604
G4500010,2018-07-10T04:00:00Z,23.9,96.31,0,0,0,0,0,47.89888493817102
G4500010,2018-07-10T05:00:00Z,24.4,93.35,0,0,0,0,0,56.53981626794628
G4500010,2018-07-10T06:00:00Z,24.4,96.93,0,340,4.5,28.5,4,50.481890089533984
G4500010,2018-07-10T07:00:00Z,27.2,84.16,2.6,350,105.5,387,42.5,54.038255315017274
G4500010,2018-07-10T08:00:00Z,30,71.09,1.5,120,296.5,641.5,70.5,58.79458545531198
G4500010,2018-07-10T09:00:00Z,32.2,60.5,3.1,340,478,673.5,114,85.96582438658345
G4500010,2018-07-10T10:00:00Z,33.9,51.14,4.1,30,689.5,833.5,100,98.69066055094814
G4500010,2018-07-10T11:00:00Z,35,43.09,4.1,10,844,872.5,110.5,110.83571322878993
G4500010,2018-07-10T12:00:00Z,35.6,44.65,2.6,40,950,895,116,107.35411186764733
G4500010,2018-07-10T13:00:00Z,35.6,44.65,3.1,360,998.5,903.5,119,107.93884955673012
G4500010,2018-07-10T14:00:00Z,36.1,46.51,2.6,230,985.5,897.5,120,110.78563541232049
G4500010,2018-07-10T15:00:00Z,36.7,43.56,3.1,310,913,879.5,118.5,125.52439664695297
G4500010,2018-07-10T16:00:00Z,36.7,48.15,2.1,0,785.5,846,112.5,123.57164613481456
G4500010,2018-07-10T17:00:00Z,36.7,43.56,2.1,310,615,789,103,139.2331765826649
G4500010,2018-07-10T18:00:00Z,36.1,49.82,2.1,280,417.5,694,89.5,141.8390261129107
G4500010,2018-07-10T19:00:00Z,33.9,58.68,1.5,240,215,527.5,66.5,131.31164187196148
G4500010,2018-07-10T20:00:00Z,31.7,71.4,0,183.33,48,197,27,135.7397347292731
G4500010,2018-07-10T21:00:00Z,30.6,73.89,0,160,0,0,0,148.32420177146855
G4500010,2018-07-10T22:00:00Z,30,76.58,0,0,0,0,0,138.1513344527691
G4500010,2018-07-10T23:00:00Z,28.9,78.81,0,246.67,0,0,0,124.05202794743624
G4500010,2018-07-11T00:00:00Z,27.8,87.41,0,246.67,0,0,0,103.11416849549722
G4500010,2018-07-11T01:00:00Z,27.8,84.23,1.5,250,0,0,0,110.47765662215507
G4500010,2018-07-11T02:00:00Z,26.7,90.06,0,265,0,0,0,87.76126446851086
G4500010,2018-07-11T03:00:00Z,26.1,93.44,0,86.67,0,0,0,76.87948242895165
G4500010,2018-07-11T04:00:00Z,25.6,96.36,0,73.33,0,0,0,68.22930959473278
G4500010,2018-07-11T05:00:00Z,25.6,96.36,0,0,0,0,0,67.9531708025212
G4500010,2018-07-11T06:00:00Z,25.6,96.36,0,0,4,21.5,4,64.71575401953731
G4500010,2018-07-11T07:00:00Z,28.3,87.46,0,120,99.5,335,45,60.93944142807755
G4500010,2018-07-11T08:00:00Z,31.7,74.08,0,6.67,284,592.5,75.5,75.98371006834276
G4500010,2018-07-11T09:00:00Z,33.9,67.17,2.1,40,484.5,724,94,93.91786585426905
G4500010,2018-07-11T10:00:00Z,35,61.14,2.1,70,668,787,112.5,99.79670335127344
G4500010,2018-07-11T11:00:00Z,36.7,53.49,2.6,80,810,791.5,145.5,119.90579577377537
G4500010,2018-07-11T12:00:00Z,37.2,46.81,2.1,0,914.5,820,151,124.73947657497003
G4500010,2018-07-11T13:00:00Z,37.8,39.41,2.1,310,963,829.5,156,137.2517359757478
G4500010,2018-07-11T14:00:00Z,37.8,43.86,0,26.67,948,814,163.5,126.36089723293723
G4500010,2018-07-11T15:00:00Z,38.9,44.16,1.5,96.67,880,803,155,147.39430993178456
G4500010,2018-07-11T16:00:00Z,38.3,45.67,2.1,240,757.5,772,143.5,148.36018516404036
G4500010,2018-07-11T17:00:00Z,37.8,50.26,2.1,280,592,711,131,149.56703245561897
G4500010,2018-07-11T18:00:00Z,37.2,51.99,1.5,280,399,605.5,113,156.72292631194898
G4500010,2018-07-11T19:00:00Z,35,65.38,0,96.67,202,424.5,82,141.9276655558145
G4500010,2018-07-11T20:00:00Z,32.8,76.55,0,0,32,64,24,159.03020952702337
G4500010,2018-07-11T21:00:00Z,31.1,84.59,0,0,0,0,0,143.75035154522345
G4500010,2018-07-11T22:00:00Z,30.6,87.13,0,0,0,0,0,135.5029116726159
G4500010,2018-07-11T23:00:00Z,30.6,84.53,0,340,0,0,0,139.2045733724802
G4500010,2018-07-12T00:00:00Z,29.4,87.55,0,230,0,0,0,121.84042334367543
G4500010,2018-07-12T01:00:00Z,28.3,93.54,0,10,0,0,0,102.48603390646963
G4500010,2018-07-12T02:00:00Z,27.8,96.42,2.6,340,0,0,0,102.80630587744096
G4500010,2018-07-12T03:00:00Z,27.8,96.42,0,120,0,0,0,94.34318251874471
G4500010,2018-07-12T04:00:00Z,27.2,100,0,126.67,0,0,0,83.9781887228738
G4500010,2018-07-12T05:00:00Z,27.2,96.99,0,10,0,0,0,86.32661229162896
G4500010,2018-07-12T06:00:00Z,27.8,96.42,0,0,2,2,2,93.25928767170087
G4500010,2018-07-12T07:00:00Z,28.9,90.22,0,116.67,44.5,34.5,39.5,101.0197342404211
G4500010,2018-07-12T08:00:00Z,30,87.61,0,133.33,143.5,56,122,96.95713255699555
G4500010,2018-07-12T09:00:00Z,33.3,72.13,2.6,10,404.5,400,185.5,103.35750787127692
G4500010,2018-07-12T10:00:00Z,35,67.39,3.1,30,629.5,655.5,168,101.35783812963537
G4500010,2018-07-12T11:00:00Z,35.6,65.11,2.1,146.67,730,570.5,254,99.83097123495052
G4500010,2018-07-12T12:00:00Z,36.7,61.16,0,13.33,845,636,252,101.47601541742505
G4500010,2018-07-12T13:00:00Z,37.8,55.76,0,10,913,720.5,212.5,116.77745947032524
G4500010,2018-07-12T14:00:00Z,37.87,59.34,2.6,323.33,717.5,354,377,134.8231050303246
G4500010,2018-07-12T15:00:00Z,31.4,71.74,6.2,160,412.5,86.5,334,98.94442430855804
G4500010,2018-07-12T16:00:00Z,31.13,71.4,1.4,120,359.5,122,266,91.60458000025068
G4500010,2018-07-12T17:00:00Z,33.3,72.13,1.5,220,510.5,427.5,236,86.85580122861404
G4500010,2018-07-12T18:00:00Z,32.8,76.55,2.1,120,384.5,523,137.5,88.00323905774992
G4500010,2018-07-12T19:00:00Z,31.1,84.59,1.5,100,189,336,94,90.39694841675836
G4500010,2018-07-12T20:00:00Z,30,93.62,2.1,90,39.5,92.5,29.5,112.39373382754192
G4500010,2018-07-12T21:00:00Z,30,93.62,2.1,200,0,0,0,129.38577107371975
G4500010,2018-07-12T22:00:00Z,29.4,97.04,3.6,10,0,0,0,122.82475872525235
